harvest_date,level,n_areas,n_populated,n_empty,pct_zero,median,mean,max,sessions_placed,top1_share_%,top5_share_%,gini
2026-06-27,Borough (LAD),33,32,1,3.0,7.0,15.15,80,500,16.0,54.2,0.57
2026-06-27,MSOA,1002,188,814,81.2,0.0,0.5,47,500,9.4,26.4,0.908
2026-06-27,LSOA,4994,223,4771,95.5,0.0,0.1,47,500,9.4,24.8,0.976
