level,total_areas,areas_with_sessions,areas_with_zero,pct_zero,median_per_area,mean_per_area,max_per_area
MSOA,1002,188,814,81.2,0.0,0.5,47
LSOA,4994,223,4771,95.5,0.0,0.1,47
