harvest_date,level,n_areas,n_populated,n_empty,pct_zero,median,mean,max,sessions_placed,top1_share_%,top5_share_%,gini
2026-06-30,Borough (LAD),33,32,1,3.0,7.0,14.97,80,494,16.2,55.5,0.581
2026-06-30,MSOA,1002,186,816,81.4,0.0,0.49,47,494,9.5,26.7,0.91
2026-06-30,LSOA,4994,221,4773,95.6,0.0,0.1,47,494,9.5,25.1,0.977
