LAD21CD,sessions
E09000011,82
E09000019,71
E09000024,52
E09000005,43
E09000027,29
E09000023,25
E09000032,24
E09000014,20
E09000028,15
E09000006,14
E09000018,12
E09000003,12
E09000009,11
E09000013,9
E09000007,7
E09000010,7
E09000026,7
E09000016,6
E09000021,5
E09000025,5
E09000033,5
E09000015,5
E09000012,5
E09000022,4
E09000031,4
E09000008,4
E09000004,4
E09000002,3
E09000030,3
E09000020,2
E09000017,1
E09000029,1
E09000001,0
