platform,publisher,kind,field,presence_rate,n_payloads,n_items,feed_url,page
opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,location,0.0,500,500,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-scheduled-sessions,0
opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,name,0.0,500,500,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-scheduled-sessions,0
opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,description,0.0,500,500,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-scheduled-sessions,0
opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,eventSchedule,0.0,500,500,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-scheduled-sessions,0
opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,ageRange,0.0,500,500,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-scheduled-sessions,0
opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,genderRestriction,0.0,500,500,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-scheduled-sessions,0
opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,level,0.0,500,500,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-scheduled-sessions,0
opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,url,0.0,500,500,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-scheduled-sessions,0
opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,attendeeInstructions,0.0,500,500,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-scheduled-sessions,0
opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,superEvent,1.0,500,500,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-scheduled-sessions,0
opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,activity,0.0,403,499,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-scheduled-sessions,1
opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,category,0.0,403,499,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-scheduled-sessions,1
opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,organizer,0.0,403,499,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-scheduled-sessions,1
opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,offers,0.0,403,499,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-scheduled-sessions,1
opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,location,0.0,403,499,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-scheduled-sessions,1
opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,name,0.0,403,499,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-scheduled-sessions,1
opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,description,0.0,403,499,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-scheduled-sessions,1
opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,eventSchedule,0.0,403,499,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-scheduled-sessions,1
opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,ageRange,0.0,403,499,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-scheduled-sessions,1
opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,genderRestriction,0.0,403,499,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-scheduled-sessions,1
opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,level,0.0,403,499,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-scheduled-sessions,1
opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,url,0.0,403,499,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-scheduled-sessions,1
opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,attendeeInstructions,0.0,403,499,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-scheduled-sessions,1
opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,superEvent,1.0,403,499,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-scheduled-sessions,1
opendata.leisurecloud.live,Active Hartlepool,FacilityUse,activity,0.0,31,31,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-facility-uses,0
opendata.leisurecloud.live,Active Hartlepool,FacilityUse,category,1.0,31,31,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-facility-uses,0
opendata.leisurecloud.live,Active Hartlepool,FacilityUse,organizer,0.0,31,31,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-facility-uses,0
opendata.leisurecloud.live,Active Hartlepool,FacilityUse,offers,1.0,31,31,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-facility-uses,0
opendata.leisurecloud.live,Active Hartlepool,FacilityUse,location,1.0,31,31,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-facility-uses,0
opendata.leisurecloud.live,Active Hartlepool,FacilityUse,name,1.0,31,31,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-facility-uses,0
opendata.leisurecloud.live,Active Hartlepool,FacilityUse,description,0.0,31,31,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-facility-uses,0
opendata.leisurecloud.live,Active Hartlepool,FacilityUse,eventSchedule,0.0,31,31,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-facility-uses,0
opendata.leisurecloud.live,Active Hartlepool,FacilityUse,ageRange,0.0,31,31,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-facility-uses,0
opendata.leisurecloud.live,Active Hartlepool,FacilityUse,genderRestriction,0.0,31,31,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-facility-uses,0
opendata.leisurecloud.live,Active Hartlepool,FacilityUse,level,0.0,31,31,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-facility-uses,0
opendata.leisurecloud.live,Active Hartlepool,FacilityUse,url,1.0,31,31,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-facility-uses,0
opendata.leisurecloud.live,Active Hartlepool,FacilityUse,attendeeInstructions,0.5161,31,31,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-facility-uses,0
opendata.leisurecloud.live,Active Hartlepool,FacilityUse,superEvent,0.0,31,31,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-facility-uses,0
opendata.leisurecloud.live,Active Leeds,SessionSeries,activity,0.0,500,500,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-session-series,0
opendata.leisurecloud.live,Active Leeds,SessionSeries,category,1.0,500,500,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-session-series,0
opendata.leisurecloud.live,Active Leeds,SessionSeries,organizer,1.0,500,500,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-session-series,0
opendata.leisurecloud.live,Active Leeds,SessionSeries,offers,0.998,500,500,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-session-series,0
opendata.leisurecloud.live,Active Leeds,SessionSeries,location,1.0,500,500,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-session-series,0
opendata.leisurecloud.live,Active Leeds,SessionSeries,name,1.0,500,500,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-session-series,0
opendata.leisurecloud.live,Active Leeds,SessionSeries,description,0.0,500,500,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-session-series,0
opendata.leisurecloud.live,Active Leeds,SessionSeries,eventSchedule,1.0,500,500,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-session-series,0
opendata.leisurecloud.live,Active Leeds,SessionSeries,ageRange,0.0,500,500,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-session-series,0
opendata.leisurecloud.live,Active Leeds,SessionSeries,genderRestriction,1.0,500,500,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-session-series,0
opendata.leisurecloud.live,Active Leeds,SessionSeries,level,0.0,500,500,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-session-series,0
opendata.leisurecloud.live,Active Leeds,SessionSeries,url,1.0,500,500,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-session-series,0
opendata.leisurecloud.live,Active Leeds,SessionSeries,attendeeInstructions,0.836,500,500,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-session-series,0
opendata.leisurecloud.live,Active Leeds,SessionSeries,superEvent,0.0,500,500,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-session-series,0
opendata.leisurecloud.live,Active Leeds,SessionSeries,activity,0.0,489,499,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-session-series,1
opendata.leisurecloud.live,Active Leeds,SessionSeries,category,1.0,489,499,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-session-series,1
opendata.leisurecloud.live,Active Leeds,SessionSeries,organizer,1.0,489,499,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-session-series,1
opendata.leisurecloud.live,Active Leeds,SessionSeries,offers,0.998,489,499,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-session-series,1
opendata.leisurecloud.live,Active Leeds,SessionSeries,location,1.0,489,499,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-session-series,1
opendata.leisurecloud.live,Active Leeds,SessionSeries,name,1.0,489,499,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-session-series,1
opendata.leisurecloud.live,Active Leeds,SessionSeries,description,0.0,489,499,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-session-series,1
opendata.leisurecloud.live,Active Leeds,SessionSeries,eventSchedule,1.0,489,499,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-session-series,1
opendata.leisurecloud.live,Active Leeds,SessionSeries,ageRange,0.0,489,499,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-session-series,1
opendata.leisurecloud.live,Active Leeds,SessionSeries,genderRestriction,0.998,489,499,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-session-series,1
opendata.leisurecloud.live,Active Leeds,SessionSeries,level,0.0,489,499,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-session-series,1
opendata.leisurecloud.live,Active Leeds,SessionSeries,url,1.0,489,499,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-session-series,1
opendata.leisurecloud.live,Active Leeds,SessionSeries,attendeeInstructions,0.8589,489,499,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-session-series,1
opendata.leisurecloud.live,Active Leeds,SessionSeries,superEvent,0.0,489,499,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-session-series,1
opendata.leisurecloud.live,Active Leeds,ScheduledSession,activity,0.0,128,500,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-scheduled-sessions,0
opendata.leisurecloud.live,Active Leeds,ScheduledSession,category,0.0,128,500,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-scheduled-sessions,0
opendata.leisurecloud.live,Active Leeds,ScheduledSession,organizer,0.0,128,500,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-scheduled-sessions,0
opendata.leisurecloud.live,Active Leeds,ScheduledSession,offers,0.0,128,500,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-scheduled-sessions,0
opendata.leisurecloud.live,Active Leeds,ScheduledSession,location,0.0,128,500,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-scheduled-sessions,0
opendata.leisurecloud.live,Active Leeds,ScheduledSession,name,0.0,128,500,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-scheduled-sessions,0
opendata.leisurecloud.live,Active Leeds,ScheduledSession,description,0.0,128,500,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-scheduled-sessions,0
opendata.leisurecloud.live,Active Leeds,ScheduledSession,eventSchedule,0.0,128,500,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-scheduled-sessions,0
opendata.leisurecloud.live,Active Leeds,ScheduledSession,ageRange,0.0,128,500,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-scheduled-sessions,0
opendata.leisurecloud.live,Active Leeds,ScheduledSession,genderRestriction,0.0,128,500,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-scheduled-sessions,0
opendata.leisurecloud.live,Active Leeds,ScheduledSession,level,0.0,128,500,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-scheduled-sessions,0
opendata.leisurecloud.live,Active Leeds,ScheduledSession,url,0.0,128,500,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-scheduled-sessions,0
