platform,publisher,kind,field,presence_rate,n_items
opendata.leisurecloud.live,Brimhams Active,SessionSeries,ageRange,0.0,500
opendata.leisurecloud.live,Brimhams Active,SessionSeries,genderRestriction,0.992,500
opendata.leisurecloud.live,Brimhams Active,SessionSeries,level,0.0,500
opendata.leisurecloud.live,Brimhams Active,SessionSeries,url,1.0,500
opendata.leisurecloud.live,Brimhams Active,SessionSeries,attendeeInstructions,0.764,500
opendata.leisurecloud.live,Brimhams Active,SessionSeries,superEvent,0.0,500
opendata.leisurecloud.live,Brimhams Active,ScheduledSession,activity,0.0,500
opendata.leisurecloud.live,Brimhams Active,ScheduledSession,category,0.0,500
opendata.leisurecloud.live,Brimhams Active,ScheduledSession,organizer,0.0,500
opendata.leisurecloud.live,Brimhams Active,ScheduledSession,offers,0.0,500
opendata.leisurecloud.live,Brimhams Active,ScheduledSession,location,0.0,500
opendata.leisurecloud.live,Brimhams Active,ScheduledSession,name,0.0,500
opendata.leisurecloud.live,Brimhams Active,ScheduledSession,description,0.0,500
opendata.leisurecloud.live,Brimhams Active,ScheduledSession,eventSchedule,0.0,500
opendata.leisurecloud.live,Brimhams Active,ScheduledSession,ageRange,0.0,500
opendata.leisurecloud.live,Brimhams Active,ScheduledSession,genderRestriction,0.0,500
opendata.leisurecloud.live,Brimhams Active,ScheduledSession,level,0.0,500
opendata.leisurecloud.live,Brimhams Active,ScheduledSession,url,0.0,500
opendata.leisurecloud.live,Brimhams Active,ScheduledSession,attendeeInstructions,0.0,500
opendata.leisurecloud.live,Brimhams Active,ScheduledSession,superEvent,1.0,500
opendata.leisurecloud.live,Brimhams Active,FacilityUse,activity,0.0,9
opendata.leisurecloud.live,Brimhams Active,FacilityUse,category,1.0,9
opendata.leisurecloud.live,Brimhams Active,FacilityUse,organizer,0.0,9
opendata.leisurecloud.live,Brimhams Active,FacilityUse,offers,1.0,9
opendata.leisurecloud.live,Brimhams Active,FacilityUse,location,1.0,9
opendata.leisurecloud.live,Brimhams Active,FacilityUse,name,1.0,9
opendata.leisurecloud.live,Brimhams Active,FacilityUse,description,0.0,9
opendata.leisurecloud.live,Brimhams Active,FacilityUse,eventSchedule,0.0,9
opendata.leisurecloud.live,Brimhams Active,FacilityUse,ageRange,0.0,9
opendata.leisurecloud.live,Brimhams Active,FacilityUse,genderRestriction,0.0,9
opendata.leisurecloud.live,Brimhams Active,FacilityUse,level,0.0,9
opendata.leisurecloud.live,Brimhams Active,FacilityUse,url,1.0,9
opendata.leisurecloud.live,Brimhams Active,FacilityUse,attendeeInstructions,0.4444,9
opendata.leisurecloud.live,Brimhams Active,FacilityUse,superEvent,0.0,9
opendata.leisurecloud.live,Brimhams Active,Slot,activity,0.0,500
opendata.leisurecloud.live,Brimhams Active,Slot,category,0.0,500
opendata.leisurecloud.live,Brimhams Active,Slot,organizer,0.0,500
opendata.leisurecloud.live,Brimhams Active,Slot,offers,1.0,500
opendata.leisurecloud.live,Brimhams Active,Slot,location,0.0,500
opendata.leisurecloud.live,Brimhams Active,Slot,name,0.0,500
opendata.leisurecloud.live,Brimhams Active,Slot,description,0.0,500
opendata.leisurecloud.live,Brimhams Active,Slot,eventSchedule,0.0,500
opendata.leisurecloud.live,Brimhams Active,Slot,ageRange,0.0,500
opendata.leisurecloud.live,Brimhams Active,Slot,genderRestriction,0.0,500
opendata.leisurecloud.live,Brimhams Active,Slot,level,0.0,500
opendata.leisurecloud.live,Brimhams Active,Slot,url,0.0,500
opendata.leisurecloud.live,Brimhams Active,Slot,attendeeInstructions,0.0,500
opendata.leisurecloud.live,Brimhams Active,Slot,superEvent,0.0,500
openactivedatacatalog.legendonlineservices.co.uk,BwD Leisure,FacilityUse,activity,1.0,14
openactivedatacatalog.legendonlineservices.co.uk,BwD Leisure,FacilityUse,category,0.0,14
openactivedatacatalog.legendonlineservices.co.uk,BwD Leisure,FacilityUse,organizer,0.0,14
openactivedatacatalog.legendonlineservices.co.uk,BwD Leisure,FacilityUse,offers,0.0,14
openactivedatacatalog.legendonlineservices.co.uk,BwD Leisure,FacilityUse,location,1.0,14
openactivedatacatalog.legendonlineservices.co.uk,BwD Leisure,FacilityUse,name,1.0,14
openactivedatacatalog.legendonlineservices.co.uk,BwD Leisure,FacilityUse,description,0.0714,14
openactivedatacatalog.legendonlineservices.co.uk,BwD Leisure,FacilityUse,eventSchedule,0.0,14
openactivedatacatalog.legendonlineservices.co.uk,BwD Leisure,FacilityUse,ageRange,0.0,14
openactivedatacatalog.legendonlineservices.co.uk,BwD Leisure,FacilityUse,genderRestriction,0.0,14
openactivedatacatalog.legendonlineservices.co.uk,BwD Leisure,FacilityUse,level,0.0,14
openactivedatacatalog.legendonlineservices.co.uk,BwD Leisure,FacilityUse,url,0.0,14
openactivedatacatalog.legendonlineservices.co.uk,BwD Leisure,FacilityUse,attendeeInstructions,0.0,14
openactivedatacatalog.legendonlineservices.co.uk,BwD Leisure,FacilityUse,superEvent,0.0,14
openactive.io,Better,SessionSeries,activity,1.0,500
openactive.io,Better,SessionSeries,category,0.0,500
openactive.io,Better,SessionSeries,organizer,1.0,500
openactive.io,Better,SessionSeries,offers,0.92,500
openactive.io,Better,SessionSeries,location,1.0,500
openactive.io,Better,SessionSeries,name,1.0,500
openactive.io,Better,SessionSeries,description,0.936,500
openactive.io,Better,SessionSeries,eventSchedule,1.0,500
openactive.io,Better,SessionSeries,ageRange,0.28,500
openactive.io,Better,SessionSeries,genderRestriction,1.0,500
openactive.io,Better,SessionSeries,level,0.132,500
openactive.io,Better,SessionSeries,url,1.0,500
openactive.io,Better,SessionSeries,attendeeInstructions,0.002,500
openactive.io,Better,SessionSeries,superEvent,0.0,500
openactive.io,Better,ScheduledSession,activity,0.0,500
openactive.io,Better,ScheduledSession,category,0.0,500
openactive.io,Better,ScheduledSession,organizer,0.0,500
openactive.io,Better,ScheduledSession,offers,0.984,500
openactive.io,Better,ScheduledSession,location,0.0,500
openactive.io,Better,ScheduledSession,name,0.0,500
openactive.io,Better,ScheduledSession,description,0.0,500
openactive.io,Better,ScheduledSession,eventSchedule,0.0,500
openactive.io,Better,ScheduledSession,ageRange,0.0,500
