level,url,status,seconds,platform,publisher,kind,declared
feed,https://blackburnwithdarwen-openactive.legendonlineservices.co.uk/api/facility-uses,COMPLETE,0.17,openactivedatacatalog.legendonlineservices.co.uk,BwD Leisure,FacilityUse,
feed,https://blackburnwithdarwen-openactive.legendonlineservices.co.uk/api/facility-uses/events,COMPLETE,0.2,openactivedatacatalog.legendonlineservices.co.uk,BwD Leisure,Slot,
site,https://lifeleisure-openactive.legendonlineservices.co.uk/OpenActive,COMPLETE,,openactivedatacatalog.legendonlineservices.co.uk,,,3
feed,https://lifeleisure-openactive.legendonlineservices.co.uk/api/sessions,ERROR_HTTP_500,0.12,openactivedatacatalog.legendonlineservices.co.uk,,SessionSeries,
feed,https://lifeleisure-openactive.legendonlineservices.co.uk/api/facility-uses,ERROR_HTTP_500,0.09,openactivedatacatalog.legendonlineservices.co.uk,,FacilityUse,
feed,https://lifeleisure-openactive.legendonlineservices.co.uk/api/facility-uses/events,ERROR_HTTP_500,0.07,openactivedatacatalog.legendonlineservices.co.uk,,Slot,
site,https://gll-openactive.legendonlineservices.co.uk/OpenActive,ERROR_HTTP_403,,openactivedatacatalog.legendonlineservices.co.uk,,,0
site,https://serco-openactive.legendonlineservices.co.uk/OpenActive,COMPLETE,,openactivedatacatalog.legendonlineservices.co.uk,Serco Leisure,,3
feed,https://serco-openactive.legendonlineservices.co.uk/api/sessions,COMPLETE,0.27,openactivedatacatalog.legendonlineservices.co.uk,Serco Leisure,SessionSeries,
feed,https://serco-openactive.legendonlineservices.co.uk/api/facility-uses,ERROR_HTTP_403,0.15,openactivedatacatalog.legendonlineservices.co.uk,Serco Leisure,FacilityUse,
feed,https://serco-openactive.legendonlineservices.co.uk/api/facility-uses/events,COMPLETE,0.88,openactivedatacatalog.legendonlineservices.co.uk,Serco Leisure,Slot,
site,http://data.better.org.uk/,COMPLETE,,openactive.io,GLL,,1
site,https://better-admin.org.uk/api/openactive/better,COMPLETE,,openactive.io,Better,,4
feed,https://better-admin.org.uk/api/openactive/better/session-series,COMPLETE,1.5,openactive.io,Better,SessionSeries,
feed,https://better-admin.org.uk/api/openactive/better/scheduled-sessions,COMPLETE,3.54,openactive.io,Better,ScheduledSession,
feed,https://better-admin.org.uk/api/openactive/better/facility-uses,COMPLETE,1.36,openactive.io,Better,FacilityUse,
feed,https://better-admin.org.uk/api/openactive/better/slots,COMPLETE,3.07,openactive.io,Better,Slot,
site,https://data.bookwhen.com/,COMPLETE,,openactive.io,Bookwhen,,4
feed,https://bookwhen.com/api/openactive/courseinstances,COMPLETE,0.75,openactive.io,Bookwhen,CourseInstance,
feed,https://bookwhen.com/api/openactive/scheduledsessions,COMPLETE,2.46,openactive.io,Bookwhen,ScheduledSession,
feed,https://bookwhen.com/api/openactive/sessionseries,COMPLETE,5.85,openactive.io,Bookwhen,SessionSeries,
site,http://data.letsride.co.uk/,COMPLETE,,openactive.io,British Cycling,,1
site,http://data.britishorienteering.org.uk/,COMPLETE,,openactive.io,British Orienteering,,1
site,https://actihire.bookteq.com/api/open-active,COMPLETE,,app.bookteq.com,Actihire,,2
feed,https://actihire.bookteq.com/api/open-active/facility-uses,COMPLETE,7.8,app.bookteq.com,Actihire,FacilityUse,
feed,https://actihire.bookteq.com/api/open-active/slots,COMPLETE,2.21,app.bookteq.com,Actihire,Slot,
site,https://ajnstadium.bookteq.com/api/open-active,COMPLETE,,app.bookteq.com,Brea Avalon LLP,,2
feed,https://ajnstadium.bookteq.com/api/open-active/facility-uses,COMPLETE,0.77,app.bookteq.com,Brea Avalon LLP,FacilityUse,
feed,https://ajnstadium.bookteq.com/api/open-active/slots,COMPLETE,1.13,app.bookteq.com,Brea Avalon LLP,Slot,
site,https://ajsports.bookteq.com/api/open-active,COMPLETE,,app.bookteq.com,Playfinder,,2
feed,https://ajsports.bookteq.com/api/open-active/facility-uses,COMPLETE,0.69,app.bookteq.com,Playfinder,FacilityUse,
feed,https://ajsports.bookteq.com/api/open-active/slots,COMPLETE,0.5,app.bookteq.com,Playfinder,Slot,
site,https://anemoslimited.bookteq.com/api/open-active,ERROR_HTTP_404,,app.bookteq.com,,,0
site,https://appleby.bookteq.com/api/open-active,COMPLETE,,app.bookteq.com,Appleby Frodingham Sports Club,,2
feed,https://appleby.bookteq.com/api/open-active/facility-uses,COMPLETE,0.84,app.bookteq.com,Appleby Frodingham Sports Club,FacilityUse,
feed,https://appleby.bookteq.com/api/open-active/slots,COMPLETE,0.94,app.bookteq.com,Appleby Frodingham Sports Club,Slot,
