catalogue,site,publisher,licence,status
openactivedatacatalog.legendonlineservices.co.uk,https://lincsinspire-openactive.legendonlineservices.co.uk/OpenActive,,https://creativecommons.org/licenses/by/4.0/,COMPLETE
openactivedatacatalog.legendonlineservices.co.uk,https://sllandinspireall-openactive.legendonlineservices.co.uk/OpenActive,SLL and InspireAll,https://creativecommons.org/licenses/by/4.0/,COMPLETE
openactivedatacatalog.legendonlineservices.co.uk,https://angusalive-openactive.legendonlineservices.co.uk/OpenActive,ANGUSalive,https://creativecommons.org/licenses/by/4.0/,COMPLETE
openactivedatacatalog.legendonlineservices.co.uk,https://derbyactive-openactive.legendonlineservices.co.uk/OpenActive,Derby Active,https://creativecommons.org/licenses/by/4.0/,COMPLETE
openactivedatacatalog.legendonlineservices.co.uk,https://lsbuactive-openactive.legendonlineservices.co.uk/OpenActive,,,ERROR_HTTP_403
openactivedatacatalog.legendonlineservices.co.uk,https://loughboroughuniversity-openactive.legendonlineservices.co.uk/OpenActive,Loughborough University,https://creativecommons.org/licenses/by/4.0/,COMPLETE
openactivedatacatalog.legendonlineservices.co.uk,https://hcandl-openactive.legendonlineservices.co.uk/OpenActive,,https://creativecommons.org/licenses/by/4.0/,COMPLETE
openactivedatacatalog.legendonlineservices.co.uk,https://activenottingham-openactive.legendonlineservices.co.uk/OpenActive,,https://creativecommons.org/licenses/by/4.0/,COMPLETE
openactivedatacatalog.legendonlineservices.co.uk,https://tendringcouncil-openactive.legendonlineservices.co.uk/OpenActive,Tendring Leisure,https://creativecommons.org/licenses/by/4.0/,COMPLETE
openactivedatacatalog.legendonlineservices.co.uk,https://aliveleisure-openactive.legendonlineservices.co.uk/OpenActive,,https://creativecommons.org/licenses/by/4.0/,COMPLETE
openactivedatacatalog.legendonlineservices.co.uk,https://salfordcommunityleisure-openactive.legendonlineservices.co.uk/OpenActive,,https://creativecommons.org/licenses/by/4.0/,COMPLETE
openactivedatacatalog.legendonlineservices.co.uk,https://leisurefocus-openactive.legendonlineservices.co.uk/OpenActive,,,ERROR_HTTP_403
openactivedatacatalog.legendonlineservices.co.uk,https://bridportleisure-openactive.legendonlineservices.co.uk/OpenActive,,https://creativecommons.org/licenses/by/4.0/,COMPLETE
openactivedatacatalog.legendonlineservices.co.uk,https://horizonlc-openactive.legendonlineservices.co.uk/OpenActive,,https://creativecommons.org/licenses/by/4.0/,COMPLETE
openactivedatacatalog.legendonlineservices.co.uk,https://barrowcouncil-openactive.legendonlineservices.co.uk/OpenActive,Barrow Park Leisure Centre,https://creativecommons.org/licenses/by/4.0/,COMPLETE
openactivedatacatalog.legendonlineservices.co.uk,https://boltonarena-openactive.legendonlineservices.co.uk/OpenActive,,https://creativecommons.org/licenses/by/4.0/,COMPLETE
openactivedatacatalog.legendonlineservices.co.uk,https://activeluton-openactive.legendonlineservices.co.uk/OpenActive,Active Luton,https://creativecommons.org/licenses/by/4.0/,COMPLETE
openactivedatacatalog.legendonlineservices.co.uk,https://strouddistrictcouncil-openactive.legendonlineservices.co.uk/OpenActive,,https://creativecommons.org/licenses/by/4.0/,COMPLETE
openactivedatacatalog.legendonlineservices.co.uk,https://universityofbristol-openactive.legendonlineservices.co.uk/OpenActive,University of Bristol,https://creativecommons.org/licenses/by/4.0/,COMPLETE
openactivedatacatalog.legendonlineservices.co.uk,https://horizon-openactive.legendonlineservices.co.uk/OpenActive,,https://creativecommons.org/licenses/by/4.0/,COMPLETE
openactivedatacatalog.legendonlineservices.co.uk,https://celticleisure-openactive.legendonlineservices.co.uk/OpenActive,,https://creativecommons.org/licenses/by/4.0/,COMPLETE
openactive.io,http://data.better.org.uk/,GLL,https://creativecommons.org/licenses/by/4.0/,COMPLETE
openactive.io,https://better-admin.org.uk/api/openactive/better,Better,https://creativecommons.org/licenses/by/4.0/,COMPLETE
openactive.io,https://data.bookwhen.com/,Bookwhen,https://creativecommons.org/licenses/by/4.0/,COMPLETE
openactive.io,http://data.letsride.co.uk/,British Cycling,https://creativecommons.org/licenses/by/4.0/,COMPLETE
openactive.io,http://data.britishorienteering.org.uk/,British Orienteering,https://creativecommons.org/licenses/by/4.0/,COMPLETE
openactive.io,http://data.britishtriathlon.org/,British Triathlon,https://creativecommons.org/licenses/by/4.0/,COMPLETE
openactive.io,https://data.englandnetball.co.uk/,England Netball,https://creativecommons.org/licenses/by/4.0/,COMPLETE
openactive.io,http://data.gomammoth.co.uk/,GO Mammoth,https://creativecommons.org/licenses/by/4.0/,COMPLETE
openactive.io,https://lawntennisassociation.github.io/,Lawn Tennis Association,https://creativecommons.org/licenses/by/4.0/,COMPLETE
