level,url,status,seconds,platform,publisher,kind,declared
feed,https://opendata.leisurecloud.live/api/feeds/BirminghamCityCouncil-live-slots?afterTimestamp=41319157&afterId=HWACT00001_2026-07-21T11-00-00,COMPLETE,0.09,opendata.leisurecloud.live,Birmingham City Council,Slot,
site,https://bewellwigan.gs-signature.cloud/OpenActive/,COMPLETE,,opendata.leisurecloud.live,Wigan Leisure and Culture Trust,,5
feed,https://opendata.leisurecloud.live/api/feeds/WiganLeisureandCultureTrust-live-course-instance,COMPLETE,0.1,opendata.leisurecloud.live,Wigan Leisure and Culture Trust,CourseInstance,
feed,https://opendata.leisurecloud.live/api/feeds/WiganLeisureandCultureTrust-live-course-instance?afterTimestamp=62877957&afterId=RPL3009010126,COMPLETE,0.14,opendata.leisurecloud.live,Wigan Leisure and Culture Trust,CourseInstance,
feed,https://opendata.leisurecloud.live/api/feeds/WiganLeisureandCultureTrust-live-session-series,COMPLETE,0.11,opendata.leisurecloud.live,Wigan Leisure and Culture Trust,SessionSeries,
feed,https://opendata.leisurecloud.live/api/feeds/WiganLeisureandCultureTrust-live-session-series?afterTimestamp=53813492&afterId=WLC1GYM19000524,COMPLETE,0.1,opendata.leisurecloud.live,Wigan Leisure and Culture Trust,SessionSeries,
feed,https://opendata.leisurecloud.live/api/feeds/WiganLeisureandCultureTrust-live-scheduled-sessions,ERROR_HTTP_404,0.13,opendata.leisurecloud.live,Wigan Leisure and Culture Trust,ScheduledSession,
feed,https://opendata.leisurecloud.live/api/feeds/WiganLeisureandCultureTrust-live-facility-uses,COMPLETE,0.1,opendata.leisurecloud.live,Wigan Leisure and Culture Trust,FacilityUse,
feed,https://opendata.leisurecloud.live/api/feeds/WiganLeisureandCultureTrust-live-facility-uses?afterTimestamp=60886617&afterId=RPLACT0508,COMPLETE,0.13,opendata.leisurecloud.live,Wigan Leisure and Culture Trust,FacilityUse,
feed,https://opendata.leisurecloud.live/api/feeds/WiganLeisureandCultureTrust-live-slots,COMPLETE,0.09,opendata.leisurecloud.live,Wigan Leisure and Culture Trust,Slot,
feed,https://opendata.leisurecloud.live/api/feeds/WiganLeisureandCultureTrust-live-slots?afterTimestamp=62382194&afterId=ALCACT0302_2026-07-16T15-00-00,COMPLETE,0.09,opendata.leisurecloud.live,Wigan Leisure and Culture Trust,Slot,
site,https://brimhamsactive.gs-signature.cloud/OpenActive/,COMPLETE,,opendata.leisurecloud.live,Brimhams Active,,5
feed,https://opendata.leisurecloud.live/api/feeds/BrimhamsActive-live-course-instance,COMPLETE,0.11,opendata.leisurecloud.live,Brimhams Active,CourseInstance,
feed,https://opendata.leisurecloud.live/api/feeds/BrimhamsActive-live-course-instance?afterTimestamp=0&afterId=,COMPLETE,0.12,opendata.leisurecloud.live,Brimhams Active,CourseInstance,
feed,https://opendata.leisurecloud.live/api/feeds/BrimhamsActive-live-session-series,COMPLETE,0.12,opendata.leisurecloud.live,Brimhams Active,SessionSeries,
feed,https://opendata.leisurecloud.live/api/feeds/BrimhamsActive-live-session-series?afterTimestamp=78972431&afterId=KP3LS080001223,COMPLETE,0.11,opendata.leisurecloud.live,Brimhams Active,SessionSeries,
feed,https://opendata.leisurecloud.live/api/feeds/BrimhamsActive-live-scheduled-sessions,COMPLETE,0.09,opendata.leisurecloud.live,Brimhams Active,ScheduledSession,
feed,https://opendata.leisurecloud.live/api/feeds/BrimhamsActive-live-scheduled-sessions?afterTimestamp=87782607&afterId=00000000000020032529,COMPLETE,0.09,opendata.leisurecloud.live,Brimhams Active,ScheduledSession,
feed,https://opendata.leisurecloud.live/api/feeds/BrimhamsActive-live-facility-uses,COMPLETE,0.08,opendata.leisurecloud.live,Brimhams Active,FacilityUse,
feed,https://opendata.leisurecloud.live/api/feeds/BrimhamsActive-live-facility-uses?afterTimestamp=86548230&afterId=NPACT00103,COMPLETE,0.1,opendata.leisurecloud.live,Brimhams Active,FacilityUse,
feed,https://opendata.leisurecloud.live/api/feeds/BrimhamsActive-live-slots,COMPLETE,0.1,opendata.leisurecloud.live,Brimhams Active,Slot,
feed,https://opendata.leisurecloud.live/api/feeds/BrimhamsActive-live-slots?afterTimestamp=87006860&afterId=KPACT00104_2026-07-19T19-00-00,COMPLETE,0.09,opendata.leisurecloud.live,Brimhams Active,Slot,
site,https://castlepoint.gs-signature.cloud/OpenActive/,COMPLETE,,opendata.leisurecloud.live,Castlepoint,,5
feed,https://opendata.leisurecloud.live/api/feeds/Castlepoint-live-course-instance,COMPLETE,0.12,opendata.leisurecloud.live,Castlepoint,CourseInstance,
feed,https://opendata.leisurecloud.live/api/feeds/Castlepoint-live-course-instance?afterTimestamp=0&afterId=,COMPLETE,0.1,opendata.leisurecloud.live,Castlepoint,CourseInstance,
feed,https://opendata.leisurecloud.live/api/feeds/Castlepoint-live-session-series,COMPLETE,0.15,opendata.leisurecloud.live,Castlepoint,SessionSeries,
feed,https://opendata.leisurecloud.live/api/feeds/Castlepoint-live-session-series?afterTimestamp=92792263&afterId=W11500SOFTP0831,COMPLETE,0.21,opendata.leisurecloud.live,Castlepoint,SessionSeries,
feed,https://opendata.leisurecloud.live/api/feeds/Castlepoint-live-scheduled-sessions,COMPLETE,0.13,opendata.leisurecloud.live,Castlepoint,ScheduledSession,
feed,https://opendata.leisurecloud.live/api/feeds/Castlepoint-live-scheduled-sessions?afterTimestamp=109701836&afterId=00000000000051045279,COMPLETE,0.09,opendata.leisurecloud.live,Castlepoint,ScheduledSession,
feed,https://opendata.leisurecloud.live/api/feeds/Castlepoint-live-facility-uses,COMPLETE,0.09,opendata.leisurecloud.live,Castlepoint,FacilityUse,
feed,https://opendata.leisurecloud.live/api/feeds/Castlepoint-live-facility-uses?afterTimestamp=80368538&afterId=WMGENIRE1,COMPLETE,0.19,opendata.leisurecloud.live,Castlepoint,FacilityUse,
