level,url,status,seconds,platform,publisher,kind,declared
feed,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-session-series,COMPLETE,0.16,opendata.leisurecloud.live,Active Leeds,SessionSeries,
feed,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-session-series?afterTimestamp=114168828&afterId=JS1CLVS17000521,COMPLETE,0.12,opendata.leisurecloud.live,Active Leeds,SessionSeries,
feed,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-scheduled-sessions,COMPLETE,0.13,opendata.leisurecloud.live,Active Leeds,ScheduledSession,
feed,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-scheduled-sessions?afterTimestamp=118590419&afterId=00000000000130071121,COMPLETE,0.13,opendata.leisurecloud.live,Active Leeds,ScheduledSession,
feed,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-facility-uses,COMPLETE,0.12,opendata.leisurecloud.live,Active Leeds,FacilityUse,
feed,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-facility-uses?afterTimestamp=117885627&afterId=MIACT00011,COMPLETE,0.09,opendata.leisurecloud.live,Active Leeds,FacilityUse,
feed,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-slots,COMPLETE,0.08,opendata.leisurecloud.live,Active Leeds,Slot,
feed,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-slots?afterTimestamp=117723116&afterId=ARACT00103_2026-07-16T13-00-00,COMPLETE,0.15,opendata.leisurecloud.live,Active Leeds,Slot,
site,https://bccleisure.gs-signature.cloud/OpenActive/,COMPLETE,,opendata.leisurecloud.live,Birmingham City Council,,5
feed,https://opendata.leisurecloud.live/api/feeds/BirminghamCityCouncil-live-course-instance,COMPLETE,0.12,opendata.leisurecloud.live,Birmingham City Council,CourseInstance,
feed,https://opendata.leisurecloud.live/api/feeds/BirminghamCityCouncil-live-course-instance?afterTimestamp=0&afterId=,COMPLETE,0.09,opendata.leisurecloud.live,Birmingham City Council,CourseInstance,
feed,https://opendata.leisurecloud.live/api/feeds/BirminghamCityCouncil-live-session-series,COMPLETE,0.12,opendata.leisurecloud.live,Birmingham City Council,SessionSeries,
feed,https://opendata.leisurecloud.live/api/feeds/BirminghamCityCouncil-live-session-series?afterTimestamp=41801938&afterId=KS2SWIM19450626,COMPLETE,0.09,opendata.leisurecloud.live,Birmingham City Council,SessionSeries,
feed,https://opendata.leisurecloud.live/api/feeds/BirminghamCityCouncil-live-scheduled-sessions,COMPLETE,0.13,opendata.leisurecloud.live,Birmingham City Council,ScheduledSession,
