publisher,child_id,parent_id,child_fields,parent_fields,inheritable,source_absent
Active_Hartlepool,https://activehartlepool.gs-signature.cloud/OpenActive/api/scheduled-sessions/30035397,https://activehartlepool.gs-signature.cloud/OpenActive/api/session-series/3M630CLHYD0225,beta:sportsActivityLocation|duration|endDate|identifier|maximumAttendeeCapacity|remainingAttendeeCapacity|startDate|superEvent,attendeeInstructions|category|duration|eventSchedule|identifier|location|name|offers|superEvent|url,name|category|offers|location|eventSchedule|url|attendeeInstructions,activity|organizer|description|ageRange|genderRestriction|level
Active_Hartlepool,https://activehartlepool.gs-signature.cloud/OpenActive/api/scheduled-sessions/50033720,https://activehartlepool.gs-signature.cloud/OpenActive/api/session-series/3H0645CLVIR0526,beta:sportsActivityLocation|duration|endDate|identifier|maximumAttendeeCapacity|remainingAttendeeCapacity|startDate|superEvent,attendeeInstructions|category|duration|eventSchedule|genderRestriction|identifier|location|name|offers|organizer|url,name|category|offers|organizer|location|eventSchedule|url|genderRestriction|attendeeInstructions,activity|description|ageRange|level
Active_Hartlepool,https://activehartlepool.gs-signature.cloud/OpenActive/api/scheduled-sessions/50026657,https://activehartlepool.gs-signature.cloud/OpenActive/api/session-series/3H0630CLGBS0526,beta:sportsActivityLocation|duration|endDate|identifier|maximumAttendeeCapacity|remainingAttendeeCapacity|startDate|superEvent,attendeeInstructions|category|duration|eventSchedule|genderRestriction|identifier|location|name|offers|organizer|url,name|category|offers|organizer|location|eventSchedule|url|genderRestriction|attendeeInstructions,activity|description|ageRange|level
Active_Hartlepool,https://activehartlepool.gs-signature.cloud/OpenActive/api/scheduled-sessions/50033647,https://activehartlepool.gs-signature.cloud/OpenActive/api/session-series/3H0645CLTRI0626,beta:sportsActivityLocation|duration|endDate|identifier|maximumAttendeeCapacity|remainingAttendeeCapacity|startDate|superEvent,attendeeInstructions|category|duration|eventSchedule|genderRestriction|identifier|location|name|offers|organizer|url,name|category|offers|organizer|location|eventSchedule|url|genderRestriction|attendeeInstructions,activity|description|ageRange|level
Active_Hartlepool,https://activehartlepool.gs-signature.cloud/OpenActive/api/scheduled-sessions/50056511,https://activehartlepool.gs-signature.cloud/OpenActive/api/session-series/3H0730CLIND0626,beta:sportsActivityLocation|duration|endDate|identifier|maximumAttendeeCapacity|remainingAttendeeCapacity|startDate|superEvent,attendeeInstructions|category|duration|eventSchedule|genderRestriction|identifier|location|name|offers|organizer|url,name|category|offers|organizer|location|eventSchedule|url|genderRestriction|attendeeInstructions,activity|description|ageRange|level
Active_Hartlepool,https://activehartlepool.gs-signature.cloud/OpenActive/api/scheduled-sessions/50050140,https://activehartlepool.gs-signature.cloud/OpenActive/api/session-series/3H0730CLVIR0526,beta:sportsActivityLocation|duration|endDate|identifier|maximumAttendeeCapacity|remainingAttendeeCapacity|startDate|superEvent,attendeeInstructions|category|duration|eventSchedule|genderRestriction|identifier|location|name|offers|organizer|url,name|category|offers|organizer|location|eventSchedule|url|genderRestriction|attendeeInstructions,activity|description|ageRange|level
Active_Hartlepool,https://activehartlepool.gs-signature.cloud/OpenActive/api/scheduled-sessions/50055302,https://activehartlepool.gs-signature.cloud/OpenActive/api/session-series/3H0900BSSPY0526,beta:sportsActivityLocation|duration|endDate|identifier|maximumAttendeeCapacity|remainingAttendeeCapacity|startDate|superEvent,attendeeInstructions|category|duration|eventSchedule|identifier|location|name|offers|superEvent|url,name|category|offers|location|eventSchedule|url|attendeeInstructions,activity|organizer|description|ageRange|genderRestriction|level
Active_Hartlepool,https://activehartlepool.gs-signature.cloud/OpenActive/api/scheduled-sessions/50055320,https://activehartlepool.gs-signature.cloud/OpenActive/api/session-series/3H0930BSSPY0626,beta:sportsActivityLocation|duration|endDate|identifier|maximumAttendeeCapacity|remainingAttendeeCapacity|startDate|superEvent,attendeeInstructions|category|duration|eventSchedule|identifier|location|name|offers|superEvent|url,name|category|offers|location|eventSchedule|url|attendeeInstructions,activity|organizer|description|ageRange|genderRestriction|level
Active_Hartlepool,https://activehartlepool.gs-signature.cloud/OpenActive/api/scheduled-sessions/50055568,https://activehartlepool.gs-signature.cloud/OpenActive/api/session-series/3H1000BSSPY0526,beta:sportsActivityLocation|duration|endDate|identifier|maximumAttendeeCapacity|remainingAttendeeCapacity|startDate|superEvent,attendeeInstructions|category|duration|eventSchedule|identifier|location|name|offers|superEvent|url,name|category|offers|location|eventSchedule|url|attendeeInstructions,activity|organizer|description|ageRange|genderRestriction|level
Active_Hartlepool,https://activehartlepool.gs-signature.cloud/OpenActive/api/scheduled-sessions/50055649,https://activehartlepool.gs-signature.cloud/OpenActive/api/session-series/3H1030BSSPY0626,beta:sportsActivityLocation|duration|endDate|identifier|maximumAttendeeCapacity|remainingAttendeeCapacity|startDate|superEvent,attendeeInstructions|category|duration|eventSchedule|identifier|location|name|offers|superEvent|url,name|category|offers|location|eventSchedule|url|attendeeInstructions,activity|organizer|description|ageRange|genderRestriction|level
